Track Name @0 0ms C0 T0 [ control track ]
Text @0 0ms C0 T0 [ creator:  ]
Text @0 0ms C0 T0 [ GNU LilyPond 2.14.2            ]
Time Signature @0 0ms C0 T0 [ 4/4  metro: 18  32nds: 8 ]
Set Tempo @0 0ms C0 T0 [ mpqn: 750000 tempo: 80 ]
Program Change @0 0ms C0 T1 [ 0x28 ]
Instrument Name @0 0ms C0 T1 [ violin ]
Note On @13824 27000ms C1 T2 [ A-5(69) 0 ]
Note On @13824 27000ms C1 T2 [ C-6(72) 0 ]
Note On @13824 27000ms C1 T2 [ G-6(79) 0 ]
Note On @13824 27000ms C1 T2 [ E-6(76) 0 ]
Note On @13824 27000ms C1 T2 [ C-5(60) 90 ]
Note On @13824 27000ms C1 T2 [ E-5(64) 90 ]
Note On @13824 27000ms C1 T2 [ G-5(67) 90 ]
Note On @13824 27000ms C2 T3 [ C-6(72) 0 ]
Note On @13824 27000ms C2 T3 [ G-5(67) 90 ]
Note On @14016 27375ms C0 T1 [ G-5(67) 0 ]
Note On @14016 27375ms C0 T1 [ D-6(74) 90 ]
Note On @14016 27375ms C2 T3 [ G-5(67) 0 ]
Note On @14016 27375ms C2 T3 [ A-5(69) 90 ]
Note On @14208 27750ms C0 T1 [ D-6(74) 0 ]
Note On @14208 27750ms C0 T1 [ C-6(72) 90 ]
Note On @14208 27750ms C2 T3 [ A-5(69) 0 ]
Note On @14208 27750ms C2 T3 [ B-5(71) 90 ]
Note On @14400 28125ms C0 T1 [ C-6(72) 0 ]
Note On @14400 28125ms C0 T1 [ B-5(71) 90 ]
Note On @14400 28125ms C2 T3 [ B-5(71) 0 ]
Note On @14400 28125ms C2 T3 [ C-6(72) 90 ]
Note On @14592 28500ms C0 T1 [ B-5(71) 0 ]
Note On @14592 28500ms C0 T1 [ C-6(72) 90 ]
Note On @14592 28500ms C2 T3 [ C-6(72) 0 ]
Note On @14592 28500ms C2 T3 [ B-5(71) 90 ]
Note On @14784 28875ms C0 T1 [ C-6(72) 0 ]
Note On @14784 28875ms C0 T1 [ F-5(65) 90 ]
Note On @14784 28875ms C2 T3 [ B-5(71) 0 ]
Note On @14784 28875ms C2 T3 [ A-5(69) 90 ]
Note On @14976 29250ms C0 T1 [ F-5(65) 0 ]
Note On @14976 29250ms C0 T1 [ C-6(72) 90 ]
Note On @14976 29250ms C2 T3 [ A-5(69) 0 ]
Note On @14976 29250ms C2 T3 [ D-6(74) 90 ]
Note On @15168 29625ms C0 T1 [ C-6(72) 0 ]
Note On @15168 29625ms C0 T1 [ F-5(65) 90 ]
Note On @15360 30000ms C0 T1 [ F-5(65) 0 ]
Note On @15360 30000ms C0 T1 [ D-5(62) 90 ]
Note On @15360 30000ms C1 T2 [ C-5(60) 0 ]
Note On @15360 30000ms C1 T2 [ E-5(64) 0 ]
Note On @15360 30000ms C1 T2 [ G-5(67) 0 ]
Note On @15360 30000ms C1 T2 [ D-5(62) 90 ]
Note On @15360 30000ms C1 T2 [ A-5(69) 90 ]
Note On @15360 30000ms C1 T2 [ F-5(65) 90 ]
Note On @15360 30000ms C2 T3 [ D-6(74) 0 ]
Note On @15360 30000ms C2 T3 [ F-6(77) 90 ]
Note On @15552 30375ms C0 T1 [ D-5(62) 0 ]
Note On @15552 30375ms C0 T1 [ E-5(64) 90 ]
Note On @15552 30375ms C2 T3 [ F-6(77) 0 ]
Note On @15552 30375ms C2 T3 [ G-6(79) 90 ]
Note On @15744 30750ms C0 T1 [ E-5(64) 0 ]
Note On @15744 30750ms C0 T1 [ F-5(65) 90 ]
Note On @15744 30750ms C2 T3 [ G-6(79) 0 ]
Note On @15744 30750ms C2 T3 [ A-6(81) 90 ]
Note On @15936 31125ms C0 T1 [ F-5(65) 0 ]
Note On @15936 31125ms C0 T1 [ G-5(67) 90 ]
Note On @15936 31125ms C2 T3 [ A-6(81) 0 ]
Note On @15936 31125ms C2 T3 [ G-6(79) 90 ]
Note On @16128 31500ms C0 T1 [ G-5(67) 0 ]
Note On @16128 31500ms C0 T1 [ F-5(65) 90 ]
Note On @16128 31500ms C2 T3 [ G-6(79) 0 ]
Note On @16128 31500ms C2 T3 [ F-6(77) 90 ]
Note On @16320 31875ms C0 T1 [ F-5(65) 0 ]
Note On @16320 31875ms C0 T1 [ E-5(64) 90 ]
Note On @16320 31875ms C2 T3 [ F-6(77) 0 ]
Note On @16320 31875ms C2 T3 [ E-6(76) 90 ]
Note On @16512 32250ms C0 T1 [ E-5(64) 0 ]
Note On @16512 32250ms C0 T1 [ D-5(62) 90 ]
Note On @16512 32250ms C2 T3 [ E-6(76) 0 ]
